Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
50.17600107192993	52	194.33333333333334	12.671051872498808	200.0	166.0	194.33333333333334	12.671051872498808	1166	57656
50.35359787940979	53	175.83333333333334	34.23651397103521	200.0	124.0	175.83333333333334	34.23651397103521	1055	58711
50.56437087059021	54	199.5	1.118033988749895	200.0	197.0	199.5	1.118033988749895	1197	59908
50.75108623504639	55	183.16666666666666	37.64047762124646	200.0	99.0	183.16666666666666	37.64047762124646	1099	61007
50.93976140022278	56	185.83333333333334	20.036771751512823	200.0	157.0	185.83333333333334	20.036771751512823	1115	62122
51.149540424346924	57	200.0	0.0	200.0	200.0	200.0	0.0	1200	63322
51.341511487960815	58	195.33333333333334	10.43498389499902	200.0	172.0	195.33333333333334	10.43498389499902	1172	64494
51.54587006568909	59	199.16666666666666	1.8633899812498247	200.0	195.0	199.16666666666666	1.8633899812498247	1195	65689
62.34944534301758	60	196.5	7.826237921249264	200.0	179.0	196.5	7.826237921249264	1179	66868
62.60088014602661	61	200.0	0.0	200.0	200.0	200.0	0.0	1200	68068
62.819756269454956	62	200.0	0.0	200.0	200.0	200.0	0.0	1200	69268
63.02056121826172	63	171.16666666666666	48.64982585329115	200.0	65.0	171.16666666666666	48.64982585329115	1027	70295
63.291109800338745	64	200.0	0.0	200.0	200.0	200.0	0.0	1200	71495
63.51491856575012	65	200.0	0.0	200.0	200.0	200.0	0.0	1200	72695
63.728559494018555	66	200.0	0.0	200.0	200.0	200.0	0.0	1200	73895
64.00052332878113	67	198.33333333333334	3.7267799624996494	200.0	190.0	198.33333333333334	3.7267799624996494	1190	75085
64.2467429637909	68	200.0	0.0	200.0	200.0	200.0	0.0	1200	76285
64.46070647239685	69	200.0	0.0	200.0	200.0	200.0	0.0	1200	77485
75.25172996520996	70	200.0	0.0	200.0	200.0	200.0	0.0	1200	78685
75.58548378944397	71	200.0	0.0	200.0	200.0	200.0	0.0	1200	79885
75.79143810272217	72	200.0	0.0	200.0	200.0	200.0	0.0	1200	81085
75.99091529846191	73	200.0	0.0	200.0	200.0	200.0	0.0	1200	82285
76.19985365867615	74	200.0	0.0	200.0	200.0	200.0	0.0	1200	83485
76.4192681312561	75	200.0	0.0	200.0	200.0	200.0	0.0	1200	84685
76.65896010398865	76	200.0	0.0	200.0	200.0	200.0	0.0	1200	85885
76.86165022850037	77	200.0	0.0	200.0	200.0	200.0	0.0	1200	87085
77.07535028457642	78	200.0	0.0	200.0	200.0	200.0	0.0	1200	88285
77.28210997581482	79	200.0	0.0	200.0	200.0	200.0	0.0	1200	89485
88.1779260635376	80	200.0	0.0	200.0	200.0	200.0	0.0	1200	90685
88.43494701385498	81	200.0	0.0	200.0	200.0	200.0	0.0	1200	91885
88.66349697113037	82	200.0	0.0	200.0	200.0	200.0	0.0	1200	93085
88.93097019195557	83	200.0	0.0	200.0	200.0	200.0	0.0	1200	94285
89.14119243621826	84	200.0	0.0	200.0	200.0	200.0	0.0	1200	95485
89.34648442268372	85	200.0	0.0	200.0	200.0	200.0	0.0	1200	96685
89.59038352966309	86	200.0	0.0	200.0	200.0	200.0	0.0	1200	97885
89.80243229866028	87	200.0	0.0	200.0	200.0	200.0	0.0	1200	99085
90.01243662834167	88	200.0	0.0	200.0	200.0	200.0	0.0	1200	100285
90.23260259628296	89	200.0	0.0	200.0	200.0	200.0	0.0	1200	101485
100.97352743148804	90	200.0	0.0	200.0	200.0	200.0	0.0	1200	102685
101.17785978317261	91	193.16666666666666	15.279797846248563	200.0	159.0	193.16666666666666	15.279797846248563	1159	103844
101.38917541503906	92	200.0	0.0	200.0	200.0	200.0	0.0	1200	105044
101.58600616455078	93	200.0	0.0	200.0	200.0	200.0	0.0	1200	106244
101.79837775230408	94	200.0	0.0	200.0	200.0	200.0	0.0	1200	107444
102.00688695907593	95	200.0	0.0	200.0	200.0	200.0	0.0	1200	108644
102.19775366783142	96	200.0	0.0	200.0	200.0	200.0	0.0	1200	109844
102.39366507530212	97	200.0	0.0	200.0	200.0	200.0	0.0	1200	111044
102.59965634346008	98	200.0	0.0	200.0	200.0	200.0	0.0	1200	112244
102.79622316360474	99	200.0	0.0	200.0	200.0	200.0	0.0	1200	113444
